 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor médio intern por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"11 Rondônia";335,23;401,49;357,04;355,97;364,88;363,25;405,46;424,36;415,24;432,30;403,46;443,51;447,95;381,30;470,32;457,66;446,04;461,44;473,36;442,48;459,71;471,12;463,67;459,71;430,37;432,60;474,56;491,62;517,09;556,05;577,56;536,03;577,47;533,16;545,52;527,37;550,47;488,96;514,08;581,12;557,62;560,36;557,09;616,92;599,09;511,79;553,43;480,40;502,10;575,66;601,58;539,88;526,41;594,08;569,55;524,96;537,90;516,93;490,66;498,32;541,86;555,62;554,21;605,55;637,34;567,89;642,36;641,94;658,54;643,38;680,67;683,04;627,54;679,55;706,71;667,38;665,85;741,10;692,38;724,05;688,00;627,77;640,57;714,76;758,77;743,33;784,43;772,61;787,21;780,49;857,98;720,32;811,21;756,49;701,27;783,80;863,69;843,81;761,64;792,04;803,59;787,55;844,53;870,78;882,58;850,71;813,67;808,11;863,05;798,07;825,09;863,22;826,52;836,22;881,81;815,58;883,78;871,30;842,56;767,44;846,74;895,64;859,70;862,14;806,83;818,58;855,54;884,25;776,17;847,74;876,84;890,36;963,30;846,20;904,11;880,39;851,58;760,22;919,82;898,92;860,68;1001,15;940,91;832,56;829,64;805,82;856,96;969,59;1043,38;1362,09;1426,83;1572,46;699,37
"12 Acre";432,40;487,53;474,23;463,06;504,14;454,17;514,70;491,55;499,94;466,06;458,03;541,58;563,68;531,50;510,01;579,14;585,77;566,96;574,03;526,96;...;602,79;548,32;587,36;564,61;533,28;568,64;560,69;631,32;563,89;546,17;622,20;586,95;578,28;568,38;620,54;647,57;620,80;569,54;608,65;635,32;591,96;708,42;690,11;672,61;645,85;649,75;666,10;633,64;612,51;645,31;663,45;637,77;644,52;623,39;660,18;609,80;663,97;674,49;658,21;624,83;671,25;649,93;642,23;648,27;594,49;680,16;702,88;656,91;642,04;680,10;639,66;654,30;628,41;668,75;709,03;659,32;657,90;701,46;720,73;690,34;698,67;715,10;707,47;797,36;763,96;692,63;788,97;768,03;790,62;729,77;784,13;751,90;715,42;769,52;743,65;871,45;796,53;759,83;848,99;781,00;893,49;892,12;850,16;882,36;763,22;825,38;879,27;804,65;890,25;863,60;817,00;917,13;804,53;796,46;815,79;705,73;983,34;937,27;753,81;777,52;758,01;779,41;723,19;687,89;817,84;793,31;753,11;708,41;759,64;887,58;823,03;811,41;657,62;815,50;794,08;776,55;773,83;738,46;794,69;784,97;734,38;831,92;829,93;880,96;836,44;821,80;776,98;933,10;960,34;1125,38;...;693,10
"13 Amazonas";507,83;558,18;554,58;567,42;610,25;602,38;607,18;597,22;621,68;589,89;529,14;631,30;670,93;656,13;685,71;680,82;705,11;689,91;672,94;717,96;699,19;697,51;655,26;730,52;697,22;678,83;696,66;698,71;690,86;767,71;740,69;715,09;703,66;685,15;733,10;694,64;691,38;679,09;679,37;726,94;747,68;717,60;786,71;702,72;753,30;751,01;710,73;751,28;801,64;828,46;736,44;726,70;763,54;738,28;785,04;758,17;764,79;756,62;712,29;731,24;750,17;732,54;735,69;787,11;745,00;769,40;741,40;820,47;806,00;823,33;791,60;769,67;777,03;718,76;785,98;765,62;845,14;829,09;814,18;797,31;836,02;798,13;800,12;811,30;880,27;917,10;879,79;921,24;859,87;886,04;920,18;861,43;901,91;915,27;918,32;887,29;810,41;837,38;887,55;888,09;925,66;876,34;899,09;948,92;933,55;871,43;870,69;909,04;935,69;859,23;930,43;852,89;947,11;862,71;933,27;950,35;908,43;965,72;950,16;918,58;900,38;910,76;947,24;948,03;931,69;940,98;939,16;921,48;1001,01;1016,37;1012,84;936,32;962,59;936,46;972,79;973,27;966,70;977,39;936,57;980,43;973,56;947,55;977,26;943,79;982,06;967,29;931,41;1036,49;1382,17;1428,21;1359,36;1245,68;828,98
"14 Roraima";446,03;429,33;396,41;427,70;423,34;410,07;432,03;415,36;475,91;467,36;437,18;557,25;495,74;491,90;611,87;544,33;522,07;580,00;564,62;611,44;558,09;552,52;553,55;755,80;630,41;657,18;681,92;667,31;603,39;619,76;635,68;608,49;667,33;700,73;667,28;659,46;659,99;612,47;593,62;594,55;578,05;626,51;609,92;650,78;707,05;631,67;624,13;628,65;635,63;683,67;668,62;648,07;656,85;642,99;617,27;701,12;669,44;694,16;662,99;691,71;696,77;670,20;660,03;673,01;595,52;630,67;617,59;604,40;588,94;659,55;593,26;688,96;638,03;589,96;626,84;668,88;655,82;632,06;647,06;703,32;696,17;673,54;637,25;673,09;646,07;765,43;693,26;692,18;687,45;612,66;632,92;756,80;738,56;683,00;751,07;799,26;643,38;727,15;674,83;790,90;692,04;734,98;814,52;728,90;717,74;738,56;651,92;745,32;734,71;778,93;719,30;688,84;647,40;703,86;687,08;736,20;787,29;687,35;718,98;750,15;784,02;763,05;768,27;778,82;745,97;825,11;781,37;732,84;774,73;765,20;749,97;818,37;772,11;838,51;669,95;763,70;822,78;794,01;725,61;776,10;736,88;726,20;785,76;822,17;831,70;771,53;821,41;915,97;943,84;1195,31;1040,18;866,22;688,86
"15 Pará";488,37;470,83;512,67;506,98;520,80;534,19;532,08;534,60;568,79;548,35;528,66;603,55;603,02;588,19;601,30;607,94;609,19;597,05;596,29;597,30;607,67;619,77;597,47;605,24;593,08;603,78;602,50;592,33;594,95;607,35;613,30;614,84;608,55;618,93;624,57;609,40;622,62;615,71;612,49;638,27;625,56;648,52;606,18;632,52;644,38;645,80;620,63;626,32;639,12;631,85;635,56;635,22;626,79;629,85;648,17;626,35;647,66;670,56;674,76;697,06;648,19;654,24;647,58;660,60;673,88;708,19;701,01;682,13;693,88;685,39;705,67;737,34;687,34;690,61;687,55;678,30;688,93;722,66;698,35;678,29;687,70;737,54;697,20;732,57;731,04;742,31;734,90;743,15;740,34;726,11;765,83;776,48;762,34;742,82;795,96;745,47;739,17;727,05;740,12;761,34;757,54;804,56;772,52;742,49;787,10;808,60;799,18;810,87;812,02;782,57;818,00;811,65;769,66;797,09;834,63;805,42;823,03;802,93;817,36;840,34;800,04;798,32;811,53;836,61;818,26;858,83;822,04;850,99;820,68;846,13;833,45;865,57;884,55;834,75;818,19;861,01;845,87;848,97;779,39;809,32;831,66;860,89;898,14;888,22;870,18;915,81;904,64;923,19;1121,03;1340,20;1311,28;1306,76;713,63
"16 Amapá";469,81;478,77;430,88;505,15;557,14;551,89;522,01;525,48;523,57;533,05;509,15;596,77;558,09;503,35;532,82;561,31;614,43;589,38;540,50;551,13;628,85;574,55;560,52;567,58;594,39;535,08;533,11;568,01;580,31;543,65;571,95;569,36;550,73;557,00;593,50;599,03;634,45;580,77;678,23;601,77;565,25;585,50;563,51;534,98;632,63;577,88;582,20;617,49;566,92;595,95;605,43;573,03;595,72;598,62;637,42;611,30;613,20;608,04;623,40;619,25;565,96;592,62;603,16;627,60;622,14;720,95;680,52;616,05;622,63;620,93;641,57;652,53;607,23;628,89;623,39;632,22;659,77;664,92;665,79;654,85;606,00;618,56;644,51;599,81;590,31;619,80;606,95;610,25;650,02;645,42;626,24;653,57;662,74;647,63;663,98;652,49;657,77;628,07;664,50;657,61;696,56;686,99;710,12;705,49;664,27;653,11;650,80;669,55;687,03;672,41;601,65;645,41;629,03;717,07;681,18;677,67;633,03;700,17;657,58;688,67;693,93;687,83;623,78;654,07;727,46;655,87;659,64;699,82;718,19;672,57;622,21;739,15;700,50;662,47;724,06;792,05;747,64;664,50;697,02;819,29;643,54;737,52;692,60;732,60;748,26;719,02;761,35;845,75;975,00;855,28;1083,91;963,10;636,15
"17 Tocantins";516,37;652,75;653,84;598,38;638,81;603,47;625,50;651,08;649,19;578,68;641,17;733,82;749,05;692,19;732,77;810,21;756,35;734,86;771,57;779,27;794,43;768,32;748,02;791,55;755,25;761,30;768,48;777,63;757,43;780,30;769,13;797,81;755,27;791,73;757,75;817,78;773,10;772,29;817,82;772,58;782,42;783,95;814,00;767,80;799,89;764,76;729,75;750,00;788,03;763,84;831,11;775,51;794,22;842,14;855,63;857,49;852,88;828,57;805,77;854,59;824,11;959,34;848,31;824,24;863,08;891,22;831,20;806,71;817,27;856,38;807,46;841,93;845,78;874,14;826,75;829,91;846,03;867,01;866,28;869,01;861,95;873,72;896,43;870,76;961,72;954,13;901,45;895,97;883,69;986,09;941,64;908,12;908,55;971,15;1002,99;1048,21;932,55;1035,66;1049,32;997,16;993,90;925,52;967,66;1042,12;1029,34;929,25;1023,03;986,22;1016,18;1008,38;969,34;899,02;971,89;957,14;990,34;970,38;900,48;919,32;923,48;896,22;893,80;970,27;933,40;893,80;796,83;905,68;921,48;925,07;956,29;984,20;928,50;1021,52;1016,34;962,28;1073,47;1039,89;1043,04;995,22;1007,38;1017,47;1018,72;983,68;1003,90;1010,47;1076,99;1024,56;1046,91;1023,44;1062,98;1229,57;1368,25;1347,33;860,47
"21 Maranhão";500,70;528,00;530,38;523,73;519,88;519,30;536,61;525,61;534,59;539,95;523,32;591,72;579,98;608,36;590,75;596,28;580,30;580,14;588,75;610,57;611,26;594,24;606,30;618,48;594,31;581,63;589,80;602,06;601,05;608,41;606,29;615,77;584,99;603,83;606,79;590,28;600,48;610,14;599,72;611,46;624,76;608,47;606,11;621,77;626,77;624,09;614,28;607,94;596,83;637,81;637,50;661,13;654,68;671,66;683,69;659,83;665,41;688,35;692,28;693,79;679,68;675,78;681,61;681,35;739,04;699,99;708,70;708,08;712,79;714,22;708,94;729,80;726,20;709,69;720,89;710,60;685,61;756,39;715,20;736,36;733,42;743,60;740,31;735,43;704,06;739,40;703,81;713,24;740,88;732,18;747,20;743,98;760,54;736,99;750,67;756,29;758,11;723,91;733,03;740,06;739,89;763,73;794,02;750,21;750,60;780,59;812,81;765,63;842,12;739,41;757,34;764,24;762,04;748,87;758,33;789,81;766,33;795,48;744,23;768,39;726,08;730,57;765,30;765,21;726,95;750,65;749,12;763,34;769,73;752,02;746,77;790,57;788,64;760,63;773,94;764,55;774,71;787,35;795,60;823,38;801,53;819,81;827,73;825,14;808,23;836,13;849,97;916,73;1105,29;1314,35;1268,40;1188,18;707,78
"22 Piauí";502,91;530,69;560,21;569,89;535,50;548,15;547,71;551,99;556,85;578,31;545,96;609,57;595,68;594,33;608,59;633,66;630,10;624,39;629,84;602,30;616,26;599,42;615,50;666,61;635,39;622,95;622,99;644,75;628,77;618,01;625,81;632,69;626,69;618,67;656,96;618,70;620,51;609,30;647,07;669,15;660,86;661,87;665,23;660,81;644,98;656,24;662,14;691,57;668,02;670,54;693,57;665,66;682,71;686,01;719,82;697,94;705,23;717,06;745,96;663,97;772,08;698,81;729,88;749,47;747,73;751,63;807,44;750,54;759,92;750,96;785,40;743,96;738,87;759,54;754,36;785,93;780,37;777,80;775,28;842,55;830,99;794,31;816,80;815,49;809,52;853,34;848,39;804,75;805,17;827,74;835,60;853,73;819,04;859,12;813,86;856,25;869,43;814,35;850,66;868,46;854,58;860,84;891,02;883,43;849,21;888,46;888,40;910,77;867,12;895,84;890,79;863,76;867,76;912,12;879,14;899,05;886,21;915,57;893,71;903,50;888,11;908,38;890,54;899,59;897,51;881,59;900,46;919,66;899,31;909,30;913,07;940,02;902,36;914,36;909,95;957,14;955,85;933,89;949,71;965,82;947,45;956,51;957,92;965,94;911,46;962,93;918,15;993,45;1047,52;1147,70;1439,52;1843,72;772,52
"23 Ceará";521,07;649,81;678,62;694,04;698,38;719,57;722,74;669,88;719,33;701,50;702,62;880,32;804,59;841,69;826,92;799,17;831,63;815,48;809,45;816,22;826,40;819,59;824,30;824,36;813,71;840,74;849,09;841,95;829,83;841,32;817,89;864,43;859,14;819,21;859,56;871,01;852,71;841,83;847,19;851,49;840,47;859,70;860,50;880,82;889,63;918,49;899,31;911,81;900,84;953,46;937,27;917,66;922,67;946,40;970,85;985,13;997,36;991,98;959,75;995,84;998,30;1004,21;989,07;1021,92;993,95;977,64;1051,46;1035,97;1079,63;1033,02;1078,08;1067,29;1111,33;1060,14;1044,14;1033,40;1066,40;1044,62;1107,35;1063,69;1077,61;1051,64;1024,04;1083,81;1086,55;1078,94;1080,00;1073,91;1052,72;1115,57;1110,06;1106,87;1102,22;1100,00;1188,90;1117,90;1114,69;1143,46;1073,61;1098,91;1099,76;1165,69;1156,88;1202,91;1191,78;1172,40;1155,15;1183,90;1132,28;1169,14;1174,78;1120,49;1156,05;1174,53;1157,47;1180,49;1201,62;1213,37;1206,55;1208,40;1185,81;1189,83;1135,56;1115,80;1132,24;1125,88;1147,07;1161,98;1144,62;1134,49;1170,43;1153,06;1118,56;1136,93;1109,67;1122,82;1156,12;1163,53;1192,66;1171,23;1155,00;1158,89;1193,54;1192,20;1172,26;1249,96;1153,22;1299,79;1378,74;1533,78;1514,58;1807,67;1019,48
